source,barcode,product_name,brand,categories,labels,label_tags,ecoscore_grade_clean,environmental_score,social_score,governance_score,ethics_score,overall_score,confidence_score,matched_labels,matched_score_groups,score_reasons,score_explanation,image_url
food,4011800523220,Corny - Schoko-Banane,CORNY,Chocolate cereal bars,Rainforest Alliance Cocoa,"['en:rainforest-alliance', 'en:rainforest-alliance-cocoa']",c,55,53,50,50,52.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score c. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/401/180/052/3220/front_de.57.400.jpg
food,4011800521219,CORNY Schoko,Corny,"Chocolate cereal bars, Getreideriegel, Imbiss, Müsliriegel mit Schokolade, Riegel, Süßer Snack","No preservatives, Sustainable farming, Rainforest Alliance Cocoa","['en:no-preservatives', 'en:sustainable-farming', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa']",c,55,53,50,50,52.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score c. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/401/180/052/1219/front_de.40.400.jpg
food,4008400521824,Kinder,Milka,"Chocolate candies, Easter eggs, Easter chocolate rabbits, Hollow chocolate eggs, de:Hohlkörper aus Schokolade",Made in the EU,['en:made-in-the-eu'],unknown,50,50,50,50,50.0,15,[],[],[],No usable Eco-Score found; environmental score starts from the neutral baseline of 50. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/400/840/052/1824/front_fr.49.400.jpg
food,5411188091622,Dessert Dark Chocolate,"alpro, Danone","Vegan chocolate puddings, Chocolate soy desserts","No gluten, European Vegetarian Union Vegan, No colorings, No lactose","['en:vegetarian', 'en:no-gluten', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:no-colorings', 'en:no-lactose']",a,85,50,50,63,66.6,70,"['Vegan', 'Vegetarian']","['vegan_ethics', 'vegetarian_ethics']","['Indicates products are free from animal-derived ingredients and support animal welfare principles.', 'Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.']","Environmental baseline uses Eco-Score a. Matched 2 scoring signal(s): Vegan, Vegetarian",https://images.openfoodfacts.org/images/products/541/118/809/1622/front_de.157.400.jpg
food,7622200009084,Milka Schoko & Keks,"Milka, Mondelez","Chocolate candies, Bars, Milk chocolate biscuits, Filled milk chocolates","Cocoa Life, Green Dot, de:Nationalpark Hohe Tauern Offizieller Förderer","['en:cocoa-life', 'en:green-dot', 'de:Nationalpark Hohe Tauern Offizieller Förderer']",f,5,50,50,50,32.0,55,[],[],[],Environmental baseline uses Eco-Score f. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/762/220/000/9084/front_de.58.400.jpg
food,20452728,Grandino White Choc & Cranberry Cookies,"Lidl, Merba, Sondey","Chocolate biscuits, Drop cookies","Green Dot, Nutriscore Grade E, UTZ Certified Cocoa","['en:sustainable-farming', 'en:green-dot', 'en:nutriscore', 'en:nutriscore-grade-e', 'en:utz-certified', 'en:utz-certified-cocoa']",d,35,53,50,50,44.8,65,['UTZ Certified'],['sustainable_agriculture'],"['Certification promotes sustainable farming practices, responsible sourcing, and improved working conditions for farmers.']",Environmental baseline uses Eco-Score d. Matched 1 scoring signal(s): UTZ Certified,https://images.openfoodfacts.org/images/products/000/002/045/2728/front_en.44.400.jpg
food,5701051302147,Buttergebäck & Schokolade Mürbegebäck,Keksen Dk,Assortments of biscuits,Green Dot,['en:green-dot'],d,30,50,50,50,42.0,55,[],[],[],Environmental baseline uses Eco-Score d. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/570/105/130/2147/front_de.35.400.jpg
food,4014400934045,Knoppers Goodies,"Knoppers, Storck","Confectioneries, Stuffed wafers",,[],c,50,50,50,50,50.0,55,[],[],[],Environmental baseline uses Eco-Score c. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/401/440/093/4045/front_en.92.400.jpg
food,20343613,bellona,Mister Choc,"Candy chocolate bars, süßer-snack, süßwaren","Rainforest Alliance Cocoa, Roundtable on Sustainable Palm Oil","['en:sustainable', 'en:sustainable-palm-oil', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa', 'en:roundtable-on-sustainable-palm-oil']",unknown,58,55,50,50,54.4,35,"['Rainforest Alliance', 'Sustainable Palm Oil']","['sustainable_agriculture', 'sustainable_palm_oil']","['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.', 'Palm oil sourced according to sustainability standards.']","No usable Eco-Score found; environmental score starts from the neutral baseline of 50. Matched 2 scoring signal(s): Rainforest Alliance, Sustainable Palm Oil",https://images.openfoodfacts.org/images/products/000/002/034/3613/front_en.146.400.jpg
food,20419813,Crunchy muesli,Lidl,"Frühstücke, Frühstückscerealien, Getreide und Kartoffeln, Getreideprodukte, Müslis, Müslis mit Schokolade, Pflanzliche Lebensmittel, Pflanzliche Lebensmittel und Getränke, Schokoflocken","Nutriscore, Rainforest Alliance, Roundtable on Sustainable Palm Oil, UTZ Certified, whole grain","['en:sustainable', 'en:sustainable-farming', 'en:sustainable-palm-oil', 'en:nutriscore', 'en:rainforest-alliance', 'en:roundtable-on-sustainable-palm-oil', 'en:utz-certified', 'en:whole-grain']",unknown,58,55,50,50,54.4,35,"['Rainforest Alliance', 'Sustainable Palm Oil']","['sustainable_agriculture', 'sustainable_palm_oil']","['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.', 'Palm oil sourced according to sustainability standards.']","No usable Eco-Score found; environmental score starts from the neutral baseline of 50. Matched 2 scoring signal(s): Rainforest Alliance, Sustainable Palm Oil",https://images.openfoodfacts.org/images/products/000/002/041/9813/front_en.85.400.jpg
